onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	4	1	3.02	2.98	6.01	12	18.02	7.09	25.18	0.1	1	1	0	4	6	Imagine that you will go on a romantic getaway with your significant other
36.57	33.5	4	2	36.57	2.43	39	12	51.02	2.17	53.26	2.1	0	1	1	6	6	Imagine that you will fulfill a promise to your friend
70.12	33.5	4	3	70.12	1.88	72	12	84.02	2.15	86.24	2.47	0	1	0	7	6	Imagine that you will get good medical coverage at work
103.66	33.5	4	4	103.66	1.33	105	12	117.02	5.21	122.29	2.4	0	1	0	7	7	Imagine that you will cultivate lasting friendships at work
137.21	33.5	4	5	137.21	0.78	138.01	12	150.03	2.35	152.45	2.49	1	0	0	1	5	Imagine that you will get food poisoning
170.76	33.5	4	6	170.76	0.24	171.01	12	183.03	7.09	190.19	2.96	0	0	1	1	6	Imagine that you will file for bankruptcy
204.31	33.5	4	7	204.31	2.69	207.01	12	219.03	6.01	225.11	3.07	1	1	1	7	7	Imagine that you will buy a car
237.86	33.5	4	8	237.86	1.8	239.68	12	251.7	7.09	258.86	7.09	0	0	1	4	4	Imagine that you will get blamed for a hazardous accident
271.41	33.5	4	9	271.41	1.59	273.01	12	285.03	7.09	292.19	5.59	1	0	0	4	4	Imagine that there will be a natural disaster where you live
304.96	33.5	4	10	304.96	1.04	306.01	12	318.02	4.11	322.2	1.52	1	0	1	1	7	Imagine that you will encounter a crawling insect in your bedroom
338.5	33.5	4	11	338.5	0.49	339.01	12	351.02	7.09	358.18	0.18	0	0	0	4	6	Imagine that you will catch one of your good friends stealing
372.05	33.5	4	12	372.05	2.94	375.01	12	387.02	2.12	389.21	1.45	1	1	1	7	7	Imagine that you will find your dream job that pays well with good hours
405.6	33.5	4	13	405.6	2.39	408.01	12	420.02	3.59	423.68	1.62	1	1	0	7	7	Imagine that you will see your favorite band in concert
439.15	33.5	4	14	439.15	1.84	441	12	453.02	7.09	460.18	7.09	0	1	1	5	4	Imagine that you will achieve a strong sense of self-worth
472.7	33.5	4	15	472.7	1.29	474	12	486.02	4.66	490.74	2.15	0	0	0	1	6	Imagine that you will be diagnosed with a rare disease
506.25	33.5	4	16	506.25	0.74	507	12	519.02	1.84	520.92	1.62	1	0	1	1	6	Imagine that there will be an infestation of bugs in your home
